player,rating,time_control
STEEDKASSA007,860,blitz
justforlore,889,blitz
drmucht,1463,blitz
spl1689,1479,blitz
Stergios2121,1839,blitz
Bleaks23,1870,blitz
toxicman999,1824,blitz
KajolDevgan,1830,blitz
Luissan54,2113,blitz
sergej-v,2200,blitz
Ronald_40,2122,blitz
Chesstomen,2138,blitz
Marwan742,1153,blitz
brian46321,1191,blitz
greydan89,1672,blitz
kilotons,1682,blitz
Camotelico,1148,blitz
Kingofmykingdom,1171,blitz
Emran777,935,blitz
holagente64,996,blitz
Joelkings,1940,blitz
VIEIRA1994,1941,blitz
moss1956,1726,blitz
tnalberto,1754,blitz
Chorizo78,1406,blitz
paolino25,1379,blitz
Rausin,1779,blitz
masstrash,1797,blitz
Ph2nt0m,1551,blitz
luis1283,1560,blitz
Richardchesss,1500,blitz
Zivana93,1525,blitz
mc77h,1062,blitz
pawnStar_takes_Queen,1062,blitz
VRYJ,1886,blitz
JB_Juaking,1880,blitz
Jayhui,1842,blitz
MeLhaqq,1811,blitz
IGG91,1878,blitz
Enot73,1862,blitz
edodewangkara,1957,blitz
Donfranky1,2021,blitz
aitak1390,2036,blitz
merkator,2079,blitz
Frnzzz-777,1760,blitz
nuevoen8,942,blitz
JuanCarlos506,1009,blitz
Jhonelite1234,1766,blitz
CRISTHI-ADE,1796,blitz
Eitan_1,1035,blitz
KJFD1,1041,blitz
Serchess1,1822,blitz
Jhosep11,1889,blitz
adan24f,1044,blitz
casa661,1128,blitz
PrincesaMaciel,1986,blitz
Marce_v07,2040,blitz
Jhokai,1156,blitz
Ale_Crispin,1201,blitz
Santimessielmejor,2045,blitz
Fatanddepressed3,2065,blitz
Mateo1Quiroz,1211,blitz
R0na1d,1370,blitz
Llamame_Rodo,2114,blitz
Terrorista98,2128,blitz
reinhard03,1371,blitz
jorge_juarez_e,1393,blitz
carlogebabe06,2169,blitz
Capitan_Tsubasa_10,2204,blitz
sebastianovik,1405,blitz
Clarita_Lopezzzzzzzz,1513,blitz
FC_Barcelona1,2236,blitz
ronaldoabarca,2309,blitz
GABRIEL_YUSSEFT,1550,blitz
JEFERSONCESARIARAUZ1,1572,blitz
TheHardPlayer,2420,blitz
StiffMaster1,2477,blitz
Brissa2023,1646,blitz
YER_VER,1719,blitz
G_M_Boy_K,2526,blitz
GeirOlafsson,1131,blitz
rfiszel,1108,blitz
andrekajaquim,1877,blitz
chtf,1234,blitz
Alzemar,1411,blitz
poiani3527,1901,blitz
Brainiac18,1966,blitz
Aserito,1998,blitz
Berserk-modee,2294,blitz
Nick122,2433,blitz
fenrircuba,1441,blitz
annsdndjdjsjsnnd,1434,blitz
AvtomatKalashnikova,2051,blitz
c_a,2018,blitz
Dkh123,841,blitz
hca205,810,blitz
cinwar,1882,blitz
HELLENAS_THEOS,1889,blitz
rk2727,1224,blitz
Vjeverica007,1247,blitz
JASMINE16,1312,blitz
mohamedelsayed8484,1331,blitz
ElAbogadoDelDiablo,2260,blitz
RustamAnnayev,2147,blitz
TL88,2129,blitz
Ahmed-1977,2066,blitz
metec0000,1459,blitz
johnrbohn,1428,blitz
Isaacool90,1139,blitz
LeninPenguim,1098,blitz
Evis94,1746,blitz
Riccardo_I,1664,blitz
Perroloco77,1797,blitz
Badro_TV,1811,blitz
Zenosky,1723,blitz
Imperator111,1692,blitz
pataflaca,1894,blitz
El_millonario-3737,1688,blitz
coach017,1071,blitz
Emiliocho,1181,blitz
mahjoub100,2139,blitz
Reiner_Wahnsinn,2155,blitz
selim424242,1769,blitz
dangeforcedme,1747,blitz
Thinker06,2278,blitz
Hadi369,2156,blitz
botica60,1810,blitz
Istho1110,1754,blitz
classedemrcolle,1613,blitz
Abunur,1747,blitz
lelov-56,1240,blitz
irondaviti,1324,blitz
Merlintim,2048,blitz
BENYTOKAMELOH,1953,blitz
ahmedomardraz,1459,blitz
Desvirgensen,1435,blitz
barthfred,1608,blitz
ElpropioSayajin,1570,blitz
Besim60,1752,blitz
NoraTopaz,1759,blitz
Ferrari2018,1785,blitz
KenyattaLeeBettis,1798,blitz
jersonsua,1331,blitz
lukasko7,1346,blitz
Harpper,1845,blitz
gio95,1838,blitz
Emiliano88,1560,blitz
brenosct,1501,blitz
holeczypeter,1885,blitz
Mistoe,1940,blitz
nosison,979,blitz
Abril_Cespedes,868,blitz
AryehP12,1462,blitz
federicoperrone,1462,blitz
MrKChezz,855,blitz
GetMarket,852,blitz
ajikbalok,1553,blitz
Sublime88,1563,blitz
zolfy9,1471,blitz
Jevon06,1492,blitz
CarlosTapia_1982,1770,blitz
SoyJuan41,1764,blitz
McGain,1779,blitz
warren12,1803,blitz
FlashGordonAha,1489,blitz
sanxrico16,1477,blitz
Giant767-300,1604,blitz
Rangod,1542,blitz
yara_eldrow,2227,blitz
Lelichek,2200,blitz
Waleed_Mamdouh86,1703,blitz
las_dino,1718,blitz
Mosope01,1281,blitz
fedetm,1279,blitz
vcafetero,1427,blitz
gonzoforo,1424,blitz
agomez0695,1429,blitz
danjbrookes,1431,blitz
Jaquecol2,1903,blitz
viktorslmk999,1928,blitz
pro_virtuoso,1924,blitz
thecorrs1,1964,blitz
sherlock555,1239,blitz
iffitheking,1117,blitz
basri_laperei72,1676,blitz
Faarser,1619,blitz
mharden,2057,blitz
cfelipe79,2122,blitz
Bigmick,1400,blitz
luisemiliano,1387,blitz
avxxxxlxb,1194,blitz
greendelta,1201,blitz
lort9005,1638,blitz
StygianMercury,1702,blitz
sim_sim130,1370,blitz
sir_umesh,1298,blitz
BjoernWissling,1609,blitz
HelpOliviaRodrigo420,1615,blitz
Jersonfig,1143,blitz
Bloodbought,1271,blitz
grade19,813,blitz
Nrtrzgr,784,blitz
haynes_61,1915,blitz
AGamal,1897,blitz
werner90,1400,blitz
Saladinocv,1443,blitz
PugBulgis,2179,blitz
Mens_Ludus_Vita,2146,blitz
devimon_cannon_1383,1968,blitz
